72944,29473,-1258
72942,29471,-1258
72939,29470,-1258
72937,29469,-1258
72934,29468,-1258
72931,29466,-1258
72929,29465,-1258
72926,29464,-1258
72924,29462,-1258
72921,29461,-1258
72919,29460,-1258
72916,29458,-1258
72913,29457,-1258
72911,29456,-1258
72908,29455,-1258
72906,29453,-1258
72903,29452,-1258
72900,29451,-1258
72898,29449,-1258
72895,29448,-1258
72893,29447,-1258
72890,29445,-1258
72887,29444,-1258
72885,29443,-1258
72882,29442,-1258
72880,29440,-1258
72877,29439,-1258
72875,29438,-1258
72872,29436,-1258
72869,29435,-1258
72867,29434,-1258
72864,29432,-1258
72862,29431,-1258
72859,29430,-1258
72856,29429,-1258
72854,29427,-1258
72851,29426,-1258
72849,29425,-1258
72846,29423,-1258
72843,29422,-1258
72841,29421,-1258
72838,29420,-1258
72836,29418,-1258
72833,29417,-1258
72830,29416,-1258
72828,29414,-1258
72825,29413,-1258
72823,29412,-1258
72820,29410,-1258
72818,29409,-1258
72815,29408,-1258
72812,29407,-1258
72810,29405,-1258
72807,29404,-1258
72805,29403,-1258
72802,29401,-1258
72799,29400,-1258
72797,29399,-1258
72794,29397,-1258
72792,29396,-1258
72789,29395,-1258
72786,29394,-1258
72784,29392,-1258
72781,29391,-1258
72779,29390,-1258
72776,29388,-1258
72774,29387,-1258
72771,29386,-1258
72768,29385,-1258
72766,29383,-1258
72763,29382,-1258
72761,29381,-1258
72758,29379,-1258
72755,29378,-1258
72753,29377,-1258
72750,29375,-1258
72748,29374,-1258
72745,29373,-1258
72742,29372,-1258
72740,29370,-1258
72737,29369,-1258
72735,29368,-1258
72732,29366,-1258
72730,29365,-1258
72727,29364,-1258
72724,29362,-1258
72722,29361,-1258
72719,29360,-1258
72717,29359,-1258
72714,29357,-1258
72711,29356,-1258
72709,29355,-1258
72706,29353,-1258
72704,29352,-1258
72701,29351,-1258
72698,29349,-1258
72696,29348,-1258
72693,29347,-1258
72691,29346,-1258
72688,29344,-1258
72686,29343,-1258
72683,29342,-1258
72680,29340,-1258
72678,29339,-1258
72675,29338,-1258
72673,29337,-1258
72670,29335,-1258
72667,29334,-1258
72665,29333,-1258
72662,29331,-1258
72660,29330,-1258
72657,29329,-1258
72654,29327,-1258
72652,29326,-1258
72649,29325,-1258
72647,29324,-1258
72644,29322,-1258
72641,29321,-1258
72639,29320,-1258
72636,29318,-1258
72634,29317,-1258
72631,29316,-1258
72629,29314,-1258
72626,29313,-1258
72623,29312,-1258
72621,29311,-1258
72618,29309,-1258
72616,29308,-1258
72613,29307,-1258
72610,29305,-1258
72608,29304,-1258
72605,29303,-1258
72603,29302,-1258
72600,29300,-1258
72597,29299,-1258
